combination,pca_num,atlas,accuracy
"('pain', 'relief')",1,msdl,0.0
"('pain', 'relief')",2,msdl,0.05
"('pain', 'relief')",3,msdl,0.2
"('pain', 'relief')",4,msdl,0.2
"('pain', 'relief')",5,msdl,0.0
"('pain', 'relief')",6,msdl,0.5
"('pain', 'relief')",7,msdl,0.5
"('pain', 'relief')",8,msdl,0.75
"('pain', 'relief')",9,msdl,0.6
"('pain', 'relief')",10,msdl,0.55
"('pain', 'relief')",11,msdl,0.55
"('pain', 'relief')",12,msdl,0.55
"('pain', 'relief')",13,msdl,0.6
"('pain', 'relief')",14,msdl,0.55
"('pain', 'relief')",15,msdl,0.6
"('pain', 'relief')",16,msdl,0.55
"('pain', 'relief')",17,msdl,0.55
"('pain', 'relief')",18,msdl,0.5
"('pain', 'relief')",19,msdl,0.45
"('pain', 'rest')",1,msdl,0.4
"('pain', 'rest')",2,msdl,0.2
"('pain', 'rest')",3,msdl,0.25
"('pain', 'rest')",4,msdl,0.4
"('pain', 'rest')",5,msdl,0.4
"('pain', 'rest')",6,msdl,0.45
"('pain', 'rest')",7,msdl,0.45
"('pain', 'rest')",8,msdl,0.7
"('pain', 'rest')",9,msdl,0.65
"('pain', 'rest')",10,msdl,0.65
"('pain', 'rest')",11,msdl,0.6
"('pain', 'rest')",12,msdl,0.5
"('pain', 'rest')",13,msdl,0.4
"('pain', 'rest')",14,msdl,0.45
"('pain', 'rest')",15,msdl,0.45
"('pain', 'rest')",16,msdl,0.45
"('pain', 'rest')",17,msdl,0.45
"('pain', 'rest')",18,msdl,0.45
"('pain', 'rest')",19,msdl,0.45
"('relief', 'rest')",1,msdl,0.5
"('relief', 'rest')",2,msdl,0.5
"('relief', 'rest')",3,msdl,0.5
"('relief', 'rest')",4,msdl,0.5
"('relief', 'rest')",5,msdl,0.4
"('relief', 'rest')",6,msdl,0.3
"('relief', 'rest')",7,msdl,0.45
"('relief', 'rest')",8,msdl,0.45
"('relief', 'rest')",9,msdl,0.35
