,combination,atlas,correlation,pca_num,accuracy
0,"('pain', 'relief')",yeo,correlation,1,0.0
0,"('pain', 'relief')",yeo,correlation,2,0.045454545454545456
0,"('pain', 'relief')",yeo,correlation,3,0.36363636363636365
0,"('pain', 'relief')",yeo,correlation,4,0.36363636363636365
0,"('pain', 'relief')",yeo,correlation,5,0.36363636363636365
0,"('pain', 'relief')",yeo,correlation,6,0.3181818181818182
0,"('pain', 'relief')",yeo,correlation,7,0.3181818181818182
0,"('pain', 'relief')",yeo,correlation,8,0.3181818181818182
0,"('pain', 'relief')",yeo,correlation,9,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,10,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,11,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,12,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,13,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,14,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,15,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,16,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,17,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,18,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,19,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,20,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,21,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,22,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,23,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,24,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,25,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,26,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,27,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,28,0.2727272727272727
0,"('pain', 'relief')",yeo,correlation,29,0.2727272727272727
0,"('pain', 'rest')",yeo,correlation,1,0.2727272727272727
0,"('pain', 'rest')",yeo,correlation,2,0.18181818181818182
0,"('pain', 'rest')",yeo,correlation,3,0.18181818181818182
